indicator_id,country_id,year,value,magnitude,qualifier
#indicator+code,#country+code,#date+year,#indicator+value+num,,
ADMI.ENDOFLOWERSEC.MAT,JEY,2014,0,,
ADMI.ENDOFLOWERSEC.MAT,JEY,2015,0,,
ADMI.ENDOFLOWERSEC.MAT,JEY,2016,0,,
ADMI.ENDOFLOWERSEC.MAT,JEY,2017,0,,
ADMI.ENDOFLOWERSEC.MAT,JEY,2018,0,,
ADMI.ENDOFLOWERSEC.MAT,JEY,2019,0,,
ADMI.ENDOFLOWERSEC.MAT,JEY,2020,0,,
ADMI.ENDOFLOWERSEC.MAT,JEY,2021,0,,
ADMI.ENDOFLOWERSEC.READ,JEY,2014,0,,
ADMI.ENDOFLOWERSEC.READ,JEY,2015,0,,
ADMI.ENDOFLOWERSEC.READ,JEY,2016,0,,
ADMI.ENDOFLOWERSEC.READ,JEY,2017,0,,
ADMI.ENDOFLOWERSEC.READ,JEY,2018,0,,
ADMI.ENDOFLOWERSEC.READ,JEY,2019,0,,
ADMI.ENDOFLOWERSEC.READ,JEY,2020,0,,
ADMI.ENDOFLOWERSEC.READ,JEY,2021,0,,
ADMI.ENDOFPRIM.MAT,JEY,2014,0,,
ADMI.ENDOFPRIM.MAT,JEY,2015,0,,
ADMI.ENDOFPRIM.MAT,JEY,2016,0,,
ADMI.ENDOFPRIM.MAT,JEY,2017,0,,
ADMI.ENDOFPRIM.MAT,JEY,2018,0,,
ADMI.ENDOFPRIM.MAT,JEY,2019,0,,
ADMI.ENDOFPRIM.MAT,JEY,2020,0,,
ADMI.ENDOFPRIM.MAT,JEY,2021,0,,
ADMI.ENDOFPRIM.READ,JEY,2014,0,,
ADMI.ENDOFPRIM.READ,JEY,2015,0,,
ADMI.ENDOFPRIM.READ,JEY,2016,0,,
ADMI.ENDOFPRIM.READ,JEY,2017,0,,
ADMI.ENDOFPRIM.READ,JEY,2018,0,,
ADMI.ENDOFPRIM.READ,JEY,2019,0,,
ADMI.ENDOFPRIM.READ,JEY,2020,0,,
ADMI.ENDOFPRIM.READ,JEY,2021,0,,
ADMI.GRADE2OR3PRIM.MAT,JEY,2014,0,,
ADMI.GRADE2OR3PRIM.MAT,JEY,2015,0,,
ADMI.GRADE2OR3PRIM.MAT,JEY,2016,0,,
ADMI.GRADE2OR3PRIM.MAT,JEY,2017,0,,
ADMI.GRADE2OR3PRIM.MAT,JEY,2018,0,,
ADMI.GRADE2OR3PRIM.MAT,JEY,2019,0,,
ADMI.GRADE2OR3PRIM.MAT,JEY,2020,0,,
ADMI.GRADE2OR3PRIM.MAT,JEY,2021,0,,
ADMI.GRADE2OR3PRIM.READ,JEY,2014,0,,
ADMI.GRADE2OR3PRIM.READ,JEY,2015,0,,
ADMI.GRADE2OR3PRIM.READ,JEY,2016,0,,
ADMI.GRADE2OR3PRIM.READ,JEY,2017,0,,
ADMI.GRADE2OR3PRIM.READ,JEY,2018,0,,
ADMI.GRADE2OR3PRIM.READ,JEY,2019,0,,
ADMI.GRADE2OR3PRIM.READ,JEY,2020,0,,
ADMI.GRADE2OR3PRIM.READ,JEY,2021,0,,
